,lat,lon,tags_bed_count,tags_doctors_num,tags_nurses_num,tags_electricity,tags_operator,tags_water_source,tags_opening_hours,Country
0,7.364712,-8.706826,,,,,pactric k.Dolo,,,LR
1,7.5755633,-8.5391235,60,2,6,generator,private_np,piped,24/7,LR
2,8.3317622,-10.0669098,,0,,,private_np,,,GN
3,7.2214808,-11.1724091,4,0,1,solar,government,pub_tap,Mo-Fr 08:00-17:00,SL
4,7.0820692,-11.2124062,7,0,2,generator,government,pub_tap,Mo-Fr 08:00-17:00,SL
5,8.1550488,-9.6497319,1,,3,solar,,protected_well,Mo-Fr 08:00-17:00,LR
6,7.2637625,-9.4367757,9,,6,generator,government,piped,Mo-Fr 08:00-17:00,LR
7,7.1974679,-9.2096329,3,,2,solar,government,piped,24/7,LR
8,7.0109419,-11.3729096,6,0,2,solar,,pub_tap,Mo-Fr 08:00-17:00,LR
9,8.2284376,-10.1625681,4,0,2,generator,combination,pub_tap,24/7,SL
10,7.2344234,-9.6157837,2,,1,none,government,piped,24/7,LR
11,7.903511,-9.4585419,4,1,6,,government,,,GN
12,7.1692863,-9.142642,2,,2,none,government,piped,Mo-Fr 08:00-17:00,LR
13,7.1727725,-9.140625,2,,2,none,government,piped,Mo-Fr 08:00-17:00,LR
14,7.1371747,-11.2817574,14,0,11,solar,government,pub_tap,24/7,SL
15,7.3788102,-9.4935608,5,0,9,solar,government,protected_well,Mo-Fr 08:00-17:00,GN
16,7.0762772,-11.2691402,6,0,2,solar,government,pub_tap,Mo-Fr 08:00-17:00,SL
17,6.8774638,-11.3492632,6,0,2,solar,government,hand_pump,Mo-Fr 08:00-17:00,LR
18,7.2637132,-11.1009979,1,0,2,generator,private_profit,pub_tap,24/7,SL
19,7.5047696,-9.5539856,5,0,7,solar,ngo,tubewell,"Mo-Fr 08:00-17:00, Sa, Su",GN
20,7.0157124,-11.261673,2,,2,solar,government,pub_tap,Mo-Fr 08:00-16:00,LR
21,7.0157124,-11.2623596,2,,2,solar,government,tubewell,,LR
22,8.221525,-10.1734579,4,0,0,solar,combination,pub_tap,"Mo-Fr 08:00-17:00, Sa, Su",SL
23,8.4207533,-9.7483063,4,0,9,solar,government,piped,Mo-Fr 08:00-17:00,LR
24,8.2760476,-10.2790833,7,,0,solar,combination,pub_tap,24/7,SL
25,7.3572853,-8.7143909,150,3,32,generator,government,piped,24/7,LR
26,7.2334934,-9.1661261,4,1,2,generator,government,piped,24/7,GN
27,7.3097474,-9.5113136,5,,3,generator,government,piped,Mo-Fr 08:00-17:00,LR
28,7.3113901,-9.5117569,2,,5,solar,government,piped,Mo-Fr 08:00-17:00,LR
29,8.4058096,-9.6617889,0,0,0,none,private_np,surface_water,"""by appointment""",LR
30,7.0586452,-11.3557434,6,,2,solar,government,tubewell,Mo-Fr 08:00-16:00,SL
31,7.0382015,-11.2568665,5,0,2,solar,government,pump_water,Mo-Fr 08:00-16:00,SL
32,7.0763624,-11.2690544,5,0,2,solar,government,pub_tap,"Mo-Fr 08:00-16:00, Sa, Su",SL
33,7.3781486,-9.218587,8,,10,generator,government,protected_well,Mo-Fr 08:00-17:00,GN
34,7.3965148,-9.4908142,8,0,7,solar,government,protected_well,"Mo-Fr 08:00-17:00, Sa, Su",GN
35,7.8320919,-9.5546722,2,0,0,none,community_facility,hand_pump,"""by appointment""",GN
36,7.4230703,-9.4928741,8,0,7,solar,government,protected_well,Mo-Fr 08:00-17:00,GN
37,7.3079848,-11.1003113,0,0,0,flash_light,private_profit,unprotected_well,24/7,SL
38,8.1363656,-10.2961421,8,0,2,generator,ngo,pub_tap,"Mo-Fr 08:00-17:00, Sa, Su",SL
39,6.975502,-11.370163,3,3,0,none,,,24/7,LR
40,8.164085,-10.2175856,2,0,6,solar,ngo,pub_tap,Mo-Fr 08:00-17:00,SL
41,7.9066938,-9.4589763,0,0,0,flash_light,private_np,pump_water,"""by appointment""",GN
42,8.3154563,-10.1506805,3,0,2,solar,government,piped,Mo-Fr 08:00-17:00,SL
43,7.7157547,-9.3857574,5,,5,solar,ngo,rain,,GN
44,7.7164351,-9.3843842,5,,5,solar,ngo,surface_water,Mo-Fr 08:00-17:00,GN
45,7.56195,-10.7858276,1,0,1,chanies_light,private_profit,hand_pump,24/7,SL
46,7.6443036,-10.5688477,6,,3,solar,government,,Mo-Fr,SL
47,8.1537196,-10.329895,8,0,8,solar,ngo,unprotected_spring,"Mo-Fr 08:00-17:00, Sa, Su",SL
48,7.9096321,-9.5175934,0,0,0,flash_light,private_np,unprotected_spring,"""by appointment""",GN
49,8.4207957,-9.747566,3,0,1,solar,ngo,piped,Mo-Fr 08:00-17:00,LR
50,7.6067255,-8.6200271,8,,2,none,ngo,protected_spring,Mo-Fr 08:00-17:00,LR
51,8.4193948,-9.7503662,5,2,3,solar,government,piped,Mo-Fr 08:00-17:00,LR
52,7.2160312,-11.1064911,1,0,0,oil_lamp,private_profit,surface_water,24/7,SL
53,7.0000376,-11.294632,4,,2,solar,government,tubewell,Mo-Fr 08:00-16:00,LR
54,8.2209622,-10.1541567,5,0,2,solar,government,pub_tap,24/7,SL
55,6.9877699,-11.292572,1,,,flash_light,private_profit,tubewell,24/7,LR
