drink_wat,water_time,toilet,hh_gps_latitude,hh_gps_longitude,Country
3,20,10,7.212946667,-9.097043333,GN
3,90,10,7.225921667,-9.049043333,LR
3,90,10,7.23422,-9.087435,GN
3,60,10,7.256431667,-9.057573333,LR
11,30,10,7.261576667,-9.112533333,GN
3,20,6,7.264021667,-9.037081667,LR
3,60,10,7.267565,-9.021571667,LR
8,60,10,7.281871667,-8.860225,LR
3,2,10,7.283246667,-8.83972,LR
3,3,10,7.283498333,-8.84418,LR
8,20,10,7.283545,-8.878801667,LR
3,5,10,7.287831667,-8.850753333,LR
3,120,10,7.293885,-9.154515,GN
5,30,4,7.307481667,-9.108363333,GN
3,5,3,7.30909,-8.919258333,LR
8,30,10,7.311173333,-8.928998333,LR
3,6,3,7.31621,-8.968838333,LR
3,60,10,7.321388333,-9.079968333,GN
3,60,10,7.323756667,-9.179341667,GN
5,30,10,7.337631667,-9.074515,GN
3,90,3,7.339495,-9.077148333,GN
3,90,3,7.33973,-9.077941667,GN
999995,999995,999995,7.33987,-9.077783333,GN
3,60,3,7.340933333,-9.076948333,GN
3,50,3,7.341455,-9.076995,GN
3,60,10,7.34219,-9.078191667,GN
3,60,10,7.344243333,-9.202565,GN
3,40,3,7.34473,-9.07586,GN
3,20,10,7.35054,-9.14911,GN
3,50,3,7.359336667,-9.046623333,GN
3,2,2,7.362031667,-8.914325,LR
11,60,10,7.367193333,-9.128628333,GN
7,20,10,7.3674,-9.093788333,GN
5,40,10,7.383148333,-9.073035,GN
5,40,10,7.383371667,-9.071856667,GN
5,60,10,7.38425,-9.072853333,GN
5,120,10,7.38436,-9.074385,GN
3,30,10,7.391301667,-9.218395,GN
3,120,3,7.393388333,-9.218615,GN
3,30,10,7.393835,-9.235951667,GN
999995,999995,999995,7.394485,-9.237111667,GN
8,30,10,7.410861667,-8.803041667,LR
11,40,10,7.411256667,-9.377211667,GN
3,30,10,7.41525,-9.24657,GN
11,30,10,7.415253333,-9.246708333,GN
3,20,3,7.416028333,-9.246933333,GN
3,120,10,7.424841667,-9.06513,GN
3,120,10,7.425266667,-9.064356667,GN
3,40,10,7.426846667,-9.063056667,GN
3,60,10,7.431393333,-9.200548333,GN
11,10,10,7.433088333,-9.134333333,GN
8,25,10,7.434151667,-8.797083333,LR
3,46,3,7.435108333,-9.198733333,GN
3,20,10,7.43529,-9.19866,GN
11,60,10,7.435735,-8.988715,LR
3,45,10,7.436083333,-8.988888333,LR
8,30,5,7.436483333,-8.98849,LR
11,30,10,7.43697,-8.988403333,LR
11,30,10,7.437568333,-9.341763333,GN
3,50,10,7.438733333,-9.240656667,GN
3,60,10,7.439916667,-9.241458333,GN
3,30,10,7.43997,-9.24212,GN
3,60,10,7.44011,-9.241401667,GN
3,15,10,7.440178333,-9.241088333,GN
3,30,10,7.440381667,-9.240898333,GN
3,50,10,7.44047,-9.241633333,GN
3,30,10,7.440505,-9.241356667,GN
3,60,10,7.44054,-9.241355,GN
3,50,10,7.440946667,-9.241485,GN
3,60,10,7.441105,-9.24184,GN
3,40,10,7.445375,-9.386678333,GN
