,drink_wat,water_time,toilet,hh_gps_latitude,hh_gps_longitude,Country
0,3,20,10,7.212946667000001,-9.097043333,GN
1,3,90,10,7.225921667000001,-9.049043333,LR
2,3,90,10,7.23422,-9.087435000000001,GN
3,3,60,10,7.256431667,-9.057573332999999,LR
4,11,30,10,7.261576667000001,-9.112533333,GN
5,3,20,6,7.264021667000001,-9.037081667,LR
6,3,60,10,7.267564999999999,-9.021571667,LR
7,8,60,10,7.281871667000001,-8.860225,LR
8,3,2,10,7.283246667,-8.83972,LR
9,3,3,10,7.283498333,-8.84418,LR
10,8,20,10,7.283544999999999,-8.878801667000001,LR
11,3,5,10,7.287831667000001,-8.850753333,LR
12,3,120,10,7.293885,-9.154515,GN
13,5,30,4,7.307481667,-9.108363333,GN
14,3,5,3,7.309089999999999,-8.919258333,LR
15,8,30,10,7.311173332999999,-8.928998333,LR
16,3,6,3,7.316210000000001,-8.968838332999999,LR
17,3,60,10,7.321388333,-9.079968333,GN
18,3,60,10,7.3237566670000005,-9.179341667000001,GN
19,5,30,10,7.337631667,-9.074515,GN
20,3,90,3,7.339494999999999,-9.077148333,GN
21,3,90,3,7.33973,-9.077941667000001,GN
22,999995,999995,999995,7.3398699999999995,-9.077783333,GN
23,3,60,3,7.340933333,-9.076948332999999,GN
24,3,50,3,7.341455000000001,-9.076995,GN
25,3,60,10,7.3421899999999996,-9.078191667,GN
26,3,60,10,7.344243333,-9.202565,GN
27,3,40,3,7.34473,-9.07586,GN
28,3,20,10,7.35054,-9.14911,GN
29,3,50,3,7.359336667000001,-9.046623333,GN
30,3,2,2,7.362031667,-8.914325,LR
31,11,60,10,7.3671933329999995,-9.128628333,GN
32,7,20,10,7.3674,-9.093788333,GN
33,5,40,10,7.383148332999999,-9.073035,GN
34,5,40,10,7.3833716670000005,-9.071856667,GN
35,5,60,10,7.38425,-9.072853333,GN
36,5,120,10,7.384360000000001,-9.074385000000001,GN
37,3,30,10,7.3913016670000005,-9.218395,GN
38,3,120,3,7.393388333,-9.218615,GN
39,3,30,10,7.393835,-9.235951667,GN
40,999995,999995,999995,7.394485,-9.237111667,GN
41,8,30,10,7.410861667000001,-8.803041667,LR
42,11,40,10,7.411256667000001,-9.377211667000001,GN
43,3,30,10,7.41525,-9.24657,GN
44,11,30,10,7.415253333,-9.246708332999999,GN
45,3,20,3,7.416028333,-9.246933333,GN
46,3,120,10,7.424841667000001,-9.06513,GN
47,3,120,10,7.425266667000001,-9.064356667,GN
48,3,40,10,7.426846667,-9.063056667,GN
49,3,60,10,7.431393333,-9.200548332999999,GN
50,11,10,10,7.433088333,-9.134333332999999,GN
51,8,25,10,7.434151667,-8.797083333,LR
52,3,46,3,7.435108333,-9.198733333,GN
53,3,20,10,7.435289999999999,-9.19866,GN
54,11,60,10,7.435735,-8.988715,LR
55,3,45,10,7.436083332999999,-8.988888333,LR
56,8,30,5,7.436483332999999,-8.988489999999999,LR
57,11,30,10,7.43697,-8.988403332999999,LR
58,11,30,10,7.437568333,-9.341763333,GN
59,3,50,10,7.438733332999999,-9.240656667,GN
60,3,60,10,7.439916667,-9.241458332999999,GN
61,3,30,10,7.43997,-9.24212,GN
62,3,60,10,7.440110000000001,-9.241401667,GN
63,3,15,10,7.4401783329999995,-9.241088332999999,GN
64,3,30,10,7.4403816670000005,-9.240898332999999,GN
65,3,50,10,7.4404699999999995,-9.241633333,GN
66,3,30,10,7.440505,-9.241356667,GN
67,3,60,10,7.4405399999999995,-9.241355,GN
68,3,50,10,7.440946667,-9.241485,GN
69,3,60,10,7.441105,-9.24184,GN
70,3,40,10,7.445375,-9.386678332999999,GN
71,999995,999995,999995,7.446969999999999,-9.086083333,GN
72,3,30,10,7.447303333,-9.260173333,GN
73,3,30,10,7.449086667,-9.104783333,GN
74,1,70,10,7.4504649999999994,-9.303421667,GN
75,3,60,10,7.45149,-9.024935000000001,GN
76,11,65,10,7.451693333,-9.021675,GN
77,3,45,10,7.454625,-9.020461667000001,GN
78,3,60,10,7.462038333,-9.270053333,GN
79,999995,999995,999995,7.462378332999999,-9.199878333,GN
80,3,30,10,7.46678,-9.061314999999999,GN
81,8,5,10,7.468928332999999,-8.784481667,LR
82,3,20,10,7.4829166670000005,-9.211826667,GN
83,8,10,10,7.48462,-8.769841667,LR
84,8,40,10,7.484678333,-8.783403332999999,LR
85,8,60,10,7.485468332999999,-8.746410000000001,LR
86,11,30,10,7.48561,-9.3178,GN
87,8,5,3,7.489416667,-9.203825,GN
88,5,40,10,7.4895566670000004,-9.380273333,GN
89,1,60,10,7.506664999999999,-9.307288332999999,GN
90,8,5,10,7.506735000000001,-8.765711667,LR
91,3,60,10,7.510756667000001,-9.204736667,GN
92,3,30,10,7.511816667000001,-9.203633332999999,GN
93,3,15,10,7.5120949999999995,-9.262438332999999,GN
94,3,45,3,7.512396667000001,-9.353145,GN
95,8,15,10,7.513319999999999,-8.776235,LR
96,3,30,10,7.515318333,-9.072188333,GN
97,8,30,10,7.517978332999999,-8.72012,LR
98,3,30,10,7.518305000000001,-9.205336667000001,GN
99,11,60,10,7.518808333,-9.205681667,GN
100,3,10,10,7.523688333,-9.275076667,GN
101,8,10,10,7.534666667000001,-8.747475,LR
102,3,30,10,7.541346667000001,-8.7728,LR
103,3,20,10,7.5415,-9.212786667,GN
104,8,30,10,7.552953333,-8.814316667,GN
105,3,30,10,7.553160000000001,-9.196565,GN
106,8,30,10,7.5538483329999995,-8.813725,GN
107,3,60,10,7.555436667,-9.089198332999999,GN
108,8,120,10,7.563385,-8.814236667000001,GN
109,999995,999995,999995,7.5653816670000005,-9.315793333,GN
110,8,30,10,7.578530000000001,-8.76446,GN
111,3,120,10,7.578793332999999,-9.103963333,GN
112,3,40,10,7.583486667000001,-9.211966667,GN
113,3,60,10,7.583715,-9.179348333,GN
114,8,15,10,7.5839616670000005,-8.783433333,GN
115,3,60,10,7.58413,-8.815923332999999,GN
116,11,20,10,7.585591667,-9.222628333,GN
117,999995,999995,999995,7.593555,-8.499201667000001,LR
118,3,30,10,7.59373,-8.501936667,LR
119,3,40,10,7.593798333,-8.500075,LR
120,3,30,3,7.5945533329999995,-8.50055,LR
121,3,30,10,7.594558332999999,-8.500458333,LR
122,999995,999995,999995,7.594783333,-8.500693333,LR
123,3,60,3,7.594818332999999,-8.50072,LR
124,999995,999995,999995,7.594856667,-8.500716667,LR
125,3,50,8,7.595998333,-8.500155,LR
126,3,45,3,7.596398333,-8.501665,LR
127,3,40,3,7.597611667000001,-8.501235000000001,LR
128,3,68,10,7.605346667,-9.160256667,GN
129,3,60,10,7.612535,-9.298876667,GN
130,3,50,6,7.614945,-9.11967,GN
131,3,50,10,7.616014999999999,-8.308603332999999,LR
132,3,30,10,7.616231667,-9.271866667000001,GN
133,3,20,10,7.616881667,-8.541621667000001,LR
134,5,30,10,7.618105,-9.117560000000001,GN
135,5,60,10,7.618313333,-9.120346667,GN
136,3,60,10,7.618721667000001,-9.322935000000001,GN
137,3,30,10,7.618736667,-9.23161,GN
138,99,30,10,7.621728332999999,-8.482510000000001,LR
139,99,30,10,7.62252,-8.482153333,LR
140,99,30,10,7.6226,-8.482185000000001,LR
141,99,30,10,7.622625,-8.482201667,LR
142,8,30,10,7.623048333,-8.481675,LR
143,8,30,10,7.62626,-8.735535,GN
144,3,10,10,7.628133332999999,-8.853168333,GN
145,999995,999995,999995,7.628931667000001,-8.30682,LR
146,3,30,8,7.628938333,-8.306753333,LR
147,999995,999995,999995,7.62896,-8.306818332999999,LR
148,3,10,3,7.631868333,-8.463805,LR
149,8,10,3,7.633871667,-8.79782,GN
150,5,25,10,7.634368332999999,-8.850931667000001,GN
151,3,60,10,7.637156667,-9.187114999999999,GN
152,7,45,10,7.6383149999999995,-8.792878332999999,GN
153,7,20,10,7.639545,-8.763951667,GN
154,7,30,10,7.6401133329999995,-8.885771667,GN
155,11,30,10,7.6402533329999995,-9.228313333,GN
156,3,30,10,7.6405133329999995,-8.799686667000001,GN
157,7,15,3,7.643439999999999,-8.795428333,GN
158,3,30,3,7.6470966670000005,-8.506553333,LR
159,3,30,8,7.647278332999999,-8.506155,LR
160,999995,999995,999995,7.6472933329999995,-8.507128332999999,LR
161,999995,999995,999995,7.647333333,-8.51041,LR
162,3,20,6,7.647333333,-8.506203333,LR
163,3,60,3,7.647419999999999,-8.509708332999999,LR
164,3,30,3,7.64757,-8.509708332999999,LR
165,3,50,10,7.647628332999999,-8.507618333,LR
166,3,90,97,7.6482916670000005,-8.507036667000001,LR
167,3,50,10,7.648506667,-8.507211667,LR
168,3,60,8,7.649938333,-8.50453,LR
169,3,30,8,7.650131667,-8.503458333,LR
170,3,30,10,7.651605,-8.525998332999999,LR
171,3,30,10,7.651688332999999,-8.526021667,LR
172,3,20,10,7.651823332999999,-8.865065,GN
173,7,30,10,7.65302,-9.156801667,GN
174,3,20,10,7.653213332999999,-8.54918,LR
175,7,30,10,7.653810000000001,-9.15559,GN
176,8,30,3,7.654983333,-8.301488333,LR
177,3,60,10,7.655773333,-9.157811667,GN
178,8,30,8,7.6607016670000005,-8.288493333,LR
179,3,30,10,7.664095,-9.179101667000001,GN
180,8,40,10,7.664256667,-8.257448333,LR
181,7,30,10,7.66512,-8.191988333,LR
182,8,45,8,7.666946667,-8.296055,LR
183,3,30,10,7.667306667,-9.260735,GN
184,3,35,3,7.669788333,-9.291935,GN
185,8,10,10,7.670223332999999,-8.316573333,LR
186,8,20,10,7.670738332999999,-8.852386667000001,GN
187,3,5,5,7.672331667000001,-8.808666667,GN
188,3,10,10,7.676396667000001,-8.305568333,LR
189,7,40,10,7.676423333,-8.305335000000001,LR
190,999995,999995,999995,7.677473332999999,-8.314451667,LR
191,3,30,10,7.677583332999999,-9.214251667000001,GN
192,3,15,3,7.677960000000001,-8.507718333,LR
193,3,20,8,7.67881,-8.316258333,LR
194,3,30,10,7.678855,-8.316286667,LR
195,7,40,9,7.67887,-8.316233333,LR
196,999995,999995,999995,7.678881667000001,-8.316273333,LR
197,3,5,10,7.680175,-8.731214999999999,GN
198,11,30,6,7.6840850000000005,-8.813748333,GN
199,8,20,10,7.68774,-8.317713333,GN
200,3,50,10,7.689076667,-9.221163333,GN
201,3,10,10,7.689839999999999,-8.772863333,GN
202,11,23,1,7.690443332999999,-8.677895,GN
203,11,30,10,7.691205,-9.15969,GN
204,3,10,10,7.69292,-8.214038333,GN
205,8,30,5,7.693718333,-8.821036667000001,GN
206,8,40,10,7.696333332999999,-8.54815,GN
207,3,6,1,7.697246667000001,-8.690001667,GN
208,3,25,10,7.6976633329999995,-8.507141667,GN
209,99,30,10,7.6989149999999995,-8.548951667,GN
210,5,5,3,7.703968333,-8.818956667,GN
211,3,10,10,7.705796667,-8.746573332999999,GN
212,7,20,10,7.709068332999999,-8.944858332999999,GN
213,8,60,8,7.709614999999999,-8.327348333,GN
214,3,10,10,7.711508332999999,-8.291498333,GN
215,3,20,8,7.713186667,-8.40892,GN
216,5,45,3,7.713236667,-8.696021667,GN
217,8,15,10,7.713614999999999,-8.950131667,GN
218,3,2,10,7.713956667000001,-8.687168332999999,GN
219,7,38,3,7.7149533329999995,-8.769013333,GN
220,3,20,6,7.71604,-9.269131667,GN
221,7,30,8,7.716983333,-8.268664999999999,GN
222,3,10,8,7.718531667000001,-8.366306667,GN
223,3,30,10,7.718548332999999,-8.842866667000001,GN
224,5,10,3,7.720171667000001,-8.825591667000001,GN
225,999995,999995,999995,7.722376667000001,-8.824855,GN
226,3,30,3,7.724703333,-8.406518333,GN
227,7,50,10,7.725823332999999,-8.828936667,GN
228,8,30,10,7.726151667000001,-8.8717,GN
229,3,10,8,7.727005,-8.433110000000001,GN
230,3,60,3,7.7275149999999995,-9.21027,GN
231,3,15,3,7.728916667000001,-8.858008332999999,GN
232,7,20,1,7.729166667,-8.826783333,GN
233,3,10,3,7.72928,-8.394658332999999,GN
234,7,15,3,7.7296066670000005,-8.827283332999999,GN
235,1,45,3,7.730245,-8.828443333,GN
236,7,30,3,7.730566667000001,-8.828121667000001,GN
237,3,10,10,7.731121667000001,-8.44108,GN
238,3,40,10,7.731676667,-8.745676667,GN
239,3,38,10,7.7335266670000005,-8.74558,GN
240,7,20,3,7.733783333,-8.830095,GN
241,3,30,3,7.733953333,-8.749951667000001,GN
242,3,30,10,7.734566667,-8.748135000000001,GN
243,3,20,10,7.73485,-8.510373332999999,GN
244,3,20,10,7.736141667,-8.977978333,GN
245,3,30,10,7.737756667,-8.750026667,GN
246,3,10,10,7.739036667000001,-8.285311667,GN
247,3,20,10,7.740418332999999,-8.505853333,GN
248,7,30,10,7.741633332999999,-8.189946667000001,GN
249,5,10,3,7.742183333,-8.755460000000001,GN
250,3,20,10,7.745951667000001,-9.147368333,GN
251,8,30,10,7.747036667000001,-8.364121667000001,GN
252,3,20,10,7.74833,-9.190983333,GN
253,3,60,10,7.75113,-8.151425,GN
254,8,20,10,7.752965,-8.355285,GN
255,7,30,10,7.7561800000000005,-8.47315,GN
256,999995,999995,999995,7.75736,-8.817995,GN
257,7,10,3,7.761066667000001,-8.792423333,GN
258,7,10,10,7.762021667000001,-8.79158,GN
259,3,60,10,7.762160000000001,-8.708983332999999,GN
